CPUID:,0x870F10
Processor:,AMD Ryzen 5 3600 6-Core (Matisse) 
Platform:,Socket AM4 (1331 pin)
Revision:,MTS-B0
Lithography:,7nm

Session start:,11:57:11 - May 18 - 2022

Time,Core 0 Temp. (°),Core 1 Temp. (°),Core 2 Temp. (°),Core 3 Temp. (°),Core 4 Temp. (°),Core 5 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 2,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 3,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 4,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 5,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),CPU 0 Power,
12:00:21 05/18/22,55,55,55,55,55,55,,,48,75,0,3592.41,,48,75,0,3592.41,,48,75,0,3592.41,,48,75,0,3592.41,,48,75,0,3592.41,,48,75,1,3592.41,18.6,
12:00:26 05/18/22,59,59,59,59,59,59,,,48,75,2,3352.92,,48,75,2,3592.41,,48,75,4,3592.41,,48,75,2,3592.41,,48,75,2,3592.41,,48,75,4,3592.41,18.6,
12:00:31 05/18/22,51,51,51,51,51,51,,,48,75,2,2320.10,,48,75,1,2320.10,,48,75,1,2320.10,,48,75,1,2320.10,,48,75,1,2320.10,,48,75,2,2320.10,17.6,
12:00:36 05/18/22,48,48,48,48,48,48,,,48,75,1,2494.73,,48,75,1,2494.73,,48,75,1,2494.73,,48,75,1,2494.73,,48,75,1,2494.73,,48,75,2,2494.73,18.2,
12:00:41 05/18/22,47,47,47,47,47,47,,,47,75,2,2320.10,,47,75,1,2320.10,,47,75,2,2320.10,,47,75,1,2320.10,,47,75,2,2320.10,,47,75,3,2320.10,18.4,
12:00:46 05/18/22,55,55,55,55,55,55,,,47,75,0,3193.25,,47,75,1,3193.25,,47,75,0,3193.25,,47,75,0,3193.25,,47,75,1,3193.25,,47,75,2,3193.25,18.9,
12:00:51 05/18/22,57,57,57,57,57,57,,,47,75,1,2669.36,,47,75,1,2669.36,,47,75,0,2669.36,,47,75,0,2669.36,,47,75,0,2669.36,,47,75,0,2669.36,17.7,
12:00:56 05/18/22,49,49,49,49,49,49,,,47,75,1,2843.99,,47,75,1,2843.99,,47,75,0,2843.99,,47,75,0,2843.99,,47,75,0,2843.99,,47,75,1,2843.99,18.3,
12:01:01 05/18/22,47,47,47,47,47,47,,,47,75,0,2195.36,,47,75,0,2195.36,,47,75,1,2195.36,,47,75,1,2195.36,,47,75,2,2195.36,,47,75,1,2195.36,17.7,
12:01:06 05/18/22,47,47,47,47,47,47,,,47,75,1,2195.36,,47,75,1,2195.36,,47,75,1,2195.36,,47,75,0,2195.36,,47,75,2,2195.36,,47,75,1,2195.36,17.8,
12:01:11 05/18/22,52,52,52,52,52,52,,,47,75,1,2195.36,,47,75,0,2195.36,,47,75,1,2195.36,,47,75,0,2195.36,,47,75,0,2195.36,,47,75,1,2195.36,17.5,
12:01:16 05/18/22,55,55,55,55,55,55,,,47,75,2,2195.36,,47,75,0,2195.36,,47,75,0,2195.36,,47,75,0,2195.36,,47,75,0,2195.36,,47,75,1,2195.36,18.0,
12:01:21 05/18/22,56,56,56,56,56,56,,,47,75,2,4191.15,,47,75,1,4191.15,,47,75,2,4191.15,,47,75,1,4191.15,,47,75,0,4191.15,,47,75,1,4191.15,17.6,
12:01:26 05/18/22,49,49,49,49,49,49,,,47,75,0,2320.10,,47,75,0,2320.10,,47,75,0,2320.10,,47,75,0,2320.10,,47,75,0,2320.10,,47,75,0,2320.10,17.9,
12:01:31 05/18/22,47,47,47,47,47,47,,,47,75,2,2494.73,,47,75,0,2494.73,,47,75,0,2494.73,,47,75,0,2494.73,,47,75,0,2494.73,,47,75,2,2494.73,17.9,
12:01:36 05/18/22,47,47,47,47,47,47,,,47,75,1,2320.10,,47,75,0,2320.10,,47,75,1,2320.10,,47,75,1,2320.10,,47,75,0,2320.10,,47,75,1,2320.10,17.5,
12:01:41 05/18/22,47,47,47,47,47,47,,,47,75,0,2843.99,,47,75,1,2843.99,,47,75,1,2843.99,,47,75,1,2843.99,,47,75,1,2843.99,,47,75,2,2843.99,17.7,
